Open,Close,High,Low,Volume,Date
84.71,86.22,86.99,84.25,55,426.00,10/02/25
83.98,85.01,85.42,82.12,92,962.00,10/01/25
83.475,83.58,84.25,82.13,104,940.00,09/30/25
82.5,83.776,84.01,79.77,113,281.00,09/29/25
76.76,81.7,81.98,76.51,227,585.00,09/26/25
77.06,76.63,77.36,75.29,61,407.00,09/25/25
78.7,77.52,79.76,77.39,56,100.00,09/24/25
77.78,78.1,80.12,77.5,78,806.00,09/23/25
78.26,77.12,78.9,76.62,153,126.00,09/22/25
80.61,80.32,81.78,80.09,83,039.00,09/19/25
81.75,80.35,81.89,79.84,79,130.00,09/18/25
79.51,80.555,82.35,79.28,96,960.00,09/17/25
77.65,78.98,79.28,76.4,82,044.00,09/16/25
77.62,77.59,77.9,75.74,105,416.00,09/15/25
80.63,77.45,80.63,77.21,124,421.00,09/12/25
81.35,80.95,81.64,80.13,92,707.00,09/11/25
83.19,81.18,83.19,80.325,79,259.00,09/10/25
86.75,83.24,87.12,82.45,68,490.00,09/09/25
86.66,87.19,87.25,85.06,61,438.00,09/08/25
88.765,86.43,90.05,86.14,56,006.00,09/05/25
86.765,88.99,89.1,86.58,86,618.00,09/04/25
90.25,86.77,91.58,85.325,118,022.00,09/03/25
86.065,90.36,91.02,85.92,115,160.00,09/02/25
86,87.14,89.89,86,110,064.00,08/29/25
86.65,86.26,87,85.34,57,971.00,08/28/25
85.47,86.64,87.09,85.47,47,412.00,08/27/25
86.49,85.48,86.69,84.94,42,086.00,08/26/25
86.47,86.3,86.57,85.22,52,767.00,08/25/25
84.12,86.56,86.76,83.71,103,542.00,08/22/25
83.385,83.8,83.98,82.48,54,903.00,08/21/25
83.1,83.72,83.88,81.92,94,173.00,08/20/25
83.2,83.38,85.01,82.58,86,823.00,08/19/25
84.22,82.89,85.5,82.81,122,619.00,08/18/25
84.29,84.72,85.56,83.54,159,165.00,08/15/25
81.45,84.05,84.09,81.19,142,574.00,08/14/25
78.7,83.41,83.52,78.21,162,578.00,08/13/25
77.13,77.95,78.48,75.69,118,745.00,08/12/25
75.45,76.58,78.37,75.36,121,765.00,08/11/25
74.9,75.24,77.86,73.77,414,108.00,08/08/25
81.35,74.38,81.35,74.13,1,040,275.00,08/07/25
102.75,105.17,105.3,102.75,98,032.00,08/06/25
100.91,102,102.57,99.85,34,573.00,08/05/25
98,100.33,100.9,97.8,69,638.00,08/04/25
98,97.173,98.36,96.03,60,886.00,08/01/25
101.95,99.76,101.95,99.42,56,529.00,07/31/25
104.06,102.27,104.24,101.8,60,893.00,07/30/25
105.31,104.3,106.05,104.08,85,784.00,07/29/25
107.98,105.62,109.51,105.01,47,389.00,07/28/25
109.535,106.727,109.75,106.52,42,410.00,07/25/25
107.72,107.757,109.77,107.59,44,597.00,07/24/25
107.57,108.82,109.59,107.55,59,105.00,07/23/25
103.96,106.32,107.03,103.96,43,084.00,07/22/25
105.11,103.62,107.06,103.6,34,439.00,07/21/25
107.04,105.13,107.04,104.73,40,453.00,07/18/25
103.41,106.59,106.75,103.41,48,604.00,07/17/25
100.76,103.22,103.45,100.2,39,824.00,07/16/25
102.76,99.71,103.26,99.71,44,500.00,07/15/25
103.11,101.94,103.15,100.88,30,990.00,07/14/25
105.03,103.75,105.28,103.15,34,075.00,07/11/25
104.75,105.82,107.89,104.75,47,348.00,07/10/25
106.28,104.75,106.28,104.33,44,047.00,07/09/25
107.26,106.5,107.26,103.97,60,478.00,07/08/25
107.39,106.3,107.87,105.48,59,643.00,07/07/25
106.97,107.74,108.37,106.79,22,914.00,07/03/25
104.625,106.62,110.09,102.14,108,424.00,07/02/25
101,107.188,108.65,101,66,022.00,07/01/25
103.65,101.22,103.71,100.61,70,813.00,06/30/25
102,103.03,103.13,101.545,65,929.00,06/27/25
99.005,100.06,100.19,98.42,41,497.00,06/26/25
99.09,98.64,99.12,97.57,28,225.00,06/25/25
98.75,99.09,99.46,97.27,46,824.00,06/24/25
98,97.38,98.03,94.4,78,147.00,06/23/25
100.175,98.49,100.67,98.36,65,447.00,06/20/25
100.69,100.08,101.38,99.7,51,234.00,06/18/25
101.76,100.97,103.01,100.62,59,347.00,06/17/25
100.37,102.2,102.74,100,75,553.00,06/16/25
101.81,97.47,102.17,96.75,97,613.00,06/13/25
103.01,103.64,103.87,101.41,63,318.00,06/12/25
105.88,104.24,107,103.78,51,599.00,06/11/25
102.9,105.21,106.27,102.9,66,929.00,06/10/25
103.04,102.243,103.1,101.8,49,491.00,06/09/25
100,101.47,101.52,100,55,828.00,06/06/25
99.14,100.18,101.55,98.54,89,674.00,06/05/25
101.97,99.04,102.3,98.99,86,618.00,06/04/25
101.19,102.28,102.77,99.74,49,206.00,06/03/25
100.95,101.5,102.52,99.9,89,127.00,06/02/25
102.93,102.04,103.37,100.8,77,934.00,05/30/25
108.6,103.9,108.6,103.75,53,892.00,05/29/25
110.04,106.81,110.38,106.57,34,890.00,05/28/25
110.05,109.95,110.89,108,58,624.00,05/27/25
107.55,108.32,109.47,106.46,88,270.00,05/23/25
