Open,Close,High,Low,Volume,Date
84.71,86.22,86.99,84.25,55,10/2/2025
83.98,85.01,85.42,82.12,92,10/1/2025
83.475,83.58,84.25,82.13,104,9/30/2025
82.5,83.776,84.01,79.77,113,9/29/2025
76.76,81.7,81.98,76.51,227,9/26/2025
77.06,76.63,77.36,75.29,61,9/25/2025
78.7,77.52,79.76,77.39,56,9/24/2025
77.78,78.1,80.12,77.5,78,9/23/2025
78.26,77.12,78.9,76.62,153,9/22/2025
80.61,80.32,81.78,80.09,83,9/19/2025
81.75,80.35,81.89,79.84,79,9/18/2025
79.51,80.555,82.35,79.28,96,9/17/2025
77.65,78.98,79.28,76.4,82,9/16/2025
77.62,77.59,77.9,75.74,105,9/15/2025
80.63,77.45,80.63,77.21,124,9/12/2025
81.35,80.95,81.64,80.13,92,9/11/2025
83.19,81.18,83.19,80.325,79,9/10/2025
86.75,83.24,87.12,82.45,68,9/9/2025
86.66,87.19,87.25,85.06,61,9/8/2025
88.765,86.43,90.05,86.14,56,9/5/2025
86.765,88.99,89.1,86.58,86,9/4/2025
90.25,86.77,91.58,85.325,118,9/3/2025
86.065,90.36,91.02,85.92,115,9/2/2025
86,87.14,89.89,86,110,8/29/2025
86.65,86.26,87,85.34,57,8/28/2025
85.47,86.64,87.09,85.47,47,8/27/2025
86.49,85.48,86.69,84.94,42,8/26/2025
86.47,86.3,86.57,85.22,52,8/25/2025
84.12,86.56,86.76,83.71,103,8/22/2025
83.385,83.8,83.98,82.48,54,8/21/2025
83.1,83.72,83.88,81.92,94,8/20/2025
83.2,83.38,85.01,82.58,86,8/19/2025
84.22,82.89,85.5,82.81,122,8/18/2025
84.29,84.72,85.56,83.54,159,8/15/2025
81.45,84.05,84.09,81.19,142,8/14/2025
78.7,83.41,83.52,78.21,162,8/13/2025
77.13,77.95,78.48,75.69,118,8/12/2025
75.45,76.58,78.37,75.36,121,8/11/2025
74.9,75.24,77.86,73.77,414,8/8/2025
81.35,74.38,81.35,74.13,275,8/7/2025
102.75,105.17,105.3,102.75,98,8/6/2025
100.91,102,102.57,99.85,34,8/5/2025
98,100.33,100.9,97.8,69,8/4/2025
98,97.173,98.36,96.03,60,8/1/2025
101.95,99.76,101.95,99.42,56,7/31/2025
104.06,102.27,104.24,101.8,60,7/30/2025
105.31,104.3,106.05,104.08,85,7/29/2025
107.98,105.62,109.51,105.01,47,7/28/2025
109.535,106.727,109.75,106.52,42,7/25/2025
107.72,107.757,109.77,107.59,44,7/24/2025
107.57,108.82,109.59,107.55,59,7/23/2025
103.96,106.32,107.03,103.96,43,7/22/2025
105.11,103.62,107.06,103.6,34,7/21/2025
107.04,105.13,107.04,104.73,40,7/18/2025
103.41,106.59,106.75,103.41,48,7/17/2025
100.76,103.22,103.45,100.2,39,7/16/2025
102.76,99.71,103.26,99.71,44,7/15/2025
103.11,101.94,103.15,100.88,30,7/14/2025
105.03,103.75,105.28,103.15,34,7/11/2025
104.75,105.82,107.89,104.75,47,7/10/2025
106.28,104.75,106.28,104.33,44,7/9/2025
107.26,106.5,107.26,103.97,60,7/8/2025
107.39,106.3,107.87,105.48,59,7/7/2025
106.97,107.74,108.37,106.79,22,7/3/2025
104.625,106.62,110.09,102.14,108,7/2/2025
101,107.188,108.65,101,66,7/1/2025
103.65,101.22,103.71,100.61,70,6/30/2025
102,103.03,103.13,101.545,65,6/27/2025
99.005,100.06,100.19,98.42,41,6/26/2025
99.09,98.64,99.12,97.57,28,6/25/2025
98.75,99.09,99.46,97.27,46,6/24/2025
98,97.38,98.03,94.4,78,6/23/2025
100.175,98.49,100.67,98.36,65,6/20/2025
100.69,100.08,101.38,99.7,51,6/18/2025
101.76,100.97,103.01,100.62,59,6/17/2025
100.37,102.2,102.74,100,75,6/16/2025
101.81,97.47,102.17,96.75,97,6/13/2025
103.01,103.64,103.87,101.41,63,6/12/2025
105.88,104.24,107,103.78,51,6/11/2025
102.9,105.21,106.27,102.9,66,6/10/2025
103.04,102.243,103.1,101.8,49,6/9/2025
100,101.47,101.52,100,55,6/6/2025
99.14,100.18,101.55,98.54,89,6/5/2025
101.97,99.04,102.3,98.99,86,6/4/2025
101.19,102.28,102.77,99.74,49,6/3/2025
100.95,101.5,102.52,99.9,89,6/2/2025
102.93,102.04,103.37,100.8,77,5/30/2025
108.6,103.9,108.6,103.75,53,5/29/2025
110.04,106.81,110.38,106.57,34,5/28/2025
110.05,109.95,110.89,108,58,5/27/2025
107.55,108.32,109.47,106.46,88,5/23/2025
112.22,111.35,112.775,110.95,49,5/22/2025
111.45,112.91,114.99,111.25,68,5/21/2025
114.62,112.96,114.97,112.64,70,5/20/2025
114.755,114.75,116.09,114.43,79,5/19/2025
117.64,117.55,118.27,116.64,33,5/16/2025
117.87,117.26,118.94,116.96,53,5/15/2025
119.88,118.27,120.68,117.98,66,5/14/2025
119.95,120.25,121.19,118.45,57,5/13/2025
119.3,118.82,122.46,115.37,117,5/12/2025
109.91,109.75,112.09,109.15,90,5/9/2025
107.04,110.73,112.61,102.51,195,5/8/2025
99.45,100.87,101.32,98.88,109,5/7/2025
99.505,98.72,100.83,98.14,52,5/6/2025
100.835,100.86,102.7,100,102,5/5/2025
96.25,97.555,97.67,95.25,50,5/2/2025
96.5,94.74,96.6,94.24,44,5/1/2025
93.72,96.4,96.59,93,61,4/30/2025
95.39,96.13,96.56,93.96,64,4/29/2025
97.82,96.24,98.04,94.82,51,4/28/2025
98.05,97.76,98.3,95.58,39,4/25/2025
96.61,98.765,99.805,96.07,47,4/24/2025
97.24,95.78,99.5,95.46,94,4/23/2025
90.5,93.54,95.51,90.5,61,4/22/2025
89.04,89.5,89.54,87.58,65,4/21/2025
89,90.74,91.05,88.26,50,4/17/2025
88.96,88.62,90.63,87.35,45,4/16/2025
90.79,89.89,91.9,88.38,61,4/15/2025
94.86,90.81,94.89,90.05,95,4/14/2025
93.48,92.59,93.94,89.31,80,4/11/2025
96.47,95.54,96.7,90.93,75,4/10/2025
88,99.53,102.58,86.41,145,4/9/2025
98.17,89.34,99.8,87.98,108,4/8/2025
95.51,95.84,102.71,93.29,146,4/7/2025
91.52,100.71,103.14,90.14,219,4/4/2025
97.7,95.965,99.75,91.6,266,4/3/2025
108.75,111.6,112.75,108.75,58,4/2/2025
106.63,109.1,109.44,105.79,74,4/1/2025
103.6,106.19,106.545,102.15,71,3/31/2025
109.45,105.96,109.54,104.9,58,3/28/2025
108.46,110.59,111.57,108,38,3/27/2025
113.025,109.51,113.025,107.2,63,3/26/2025
111.05,112.55,113.58,111.05,74,3/25/2025
106.05,110.95,111.2,105.41,93,3/24/2025
103.13,104.61,106.66,101.13,75,3/21/2025
106.48,105.51,108.92,105.41,62,3/20/2025
104.31,107.02,107.58,104.14,80,3/19/2025
102.88,103.53,103.65,101.16,37,3/18/2025
99.81,103.81,104.41,99.81,57,3/17/2025
101.44,98.6,101.535,97.67,67,3/14/2025
101.19,100.02,101.65,97.22,46,3/13/2025
101.7,101.96,102.95,100.64,105,3/12/2025
101.05,98.415,101.18,97.49,68,3/11/2025
99.01,101.22,103.04,97.38,84,3/10/2025
99.66,99.88,100.02,95.2,81,3/7/2025
102.46,100.79,103.37,100.01,76,3/6/2025
102.17,103.73,105.2,100.91,83,3/5/2025
98.58,100.97,102.95,97.62,127,3/4/2025
101.04,100.4,104.39,99.15,90,3/3/2025
100.65,99.6,101.49,99.21,64,2/28/2025
105.195,100.84,106.82,100.76,59,2/27/2025
104.66,104.84,105.92,103.82,50,2/26/2025
106.46,103.15,106.88,102.77,81,2/25/2025
107.615,106.032,107.85,103.96,66,2/24/2025
109.815,107.64,110.76,106.26,81,2/21/2025
110.75,108.85,110.75,106.71,60,2/20/2025
106.87,111.02,111.15,106.45,74,2/19/2025
108.19,107.45,109.31,104.68,73,2/18/2025
109.315,108.45,110.61,106.26,101,2/14/2025
110.79,109.82,111.62,103.66,419,2/13/2025
89.2,88.79,90.1,88.27,110,2/12/2025
90,88.92,91.16,88.39,117,2/11/2025
94.31,90.73,94.31,89.62,171,2/10/2025
95.05,93.35,96.51,92.4,91,2/7/2025
98.65,95.498,99.12,95.47,89,2/6/2025
97.325,96.97,98.1,96.5,47,2/5/2025
97.76,97.3,98.83,96.95,47,2/4/2025
98.7,96.78,100.01,96.67,98,2/3/2025
105.3,102.09,106.3,101.74,80,1/31/2025
105.47,107.05,107.7,104.56,34,1/30/2025
104,104.76,106.44,103.95,59,1/29/2025
102.43,103.61,104.1,101.95,32,1/28/2025
103.82,102.44,105.06,101.99,46,1/27/2025
105.31,103.59,105.45,102.48,57,1/24/2025
102.015,105.07,105.07,100.05,64,1/23/2025
103.01,102.66,103.31,101.28,57,1/22/2025
100.95,103.34,103.47,99.33,90,1/21/2025
102.3,99.94,102.53,99.44,66,1/17/2025
103.54,102.69,103.54,101.55,55,1/16/2025
108.155,103.87,108.77,103.76,31,1/15/2025
107.05,105.1,108.12,104.36,38,1/14/2025
109.25,105.79,109.25,103.67,69,1/13/2025
108.26,109.99,110.41,107.49,29,1/10/2025
109.46,109.68,109.74,107.75,29,1/8/2025
112.91,111.05,113.66,110.39,28,1/7/2025
111.55,112.09,115.04,111.55,27,1/6/2025
110.445,110.76,111.75,109.31,22,1/3/2025
110.5,109.95,112.37,109.87,28,1/2/2025
109.37,109.53,110.68,108.695,25,12/31/2024
109,108.74,109.9,106.9,29,12/30/2024
112.39,110.76,114.2,110.63,37,12/27/2024
112.2,112.95,113.75,112.2,25,12/26/2024
113.39,112.3,113.48,111,20,12/24/2024
111.14,113.28,115.1,111.14,50,12/23/2024
105.11,111.86,112.93,104.795,63,12/20/2024
108.03,105.72,109.2,104.65,60,12/19/2024
111.6,106.85,112.16,106.51,63,12/18/2024
108.675,111.59,113.05,108.675,72,12/17/2024
111.325,108.92,112.88,108.92,70,12/16/2024
113.08,111.625,113.15,110.39,33,12/13/2024
113.185,112.93,113.95,112.25,37,12/12/2024
112.57,113.39,114.02,112.4,44,12/11/2024
110.85,111.48,113.1,110.11,43,12/10/2024
110.245,110.66,112,108.5,74,12/9/2024
112.11,109.69,112.45,109.65,44,12/6/2024
113.32,109.95,113.45,109.56,44,12/5/2024
111.42,113.31,114,111.24,50,12/4/2024
110.03,111.31,111.61,107.71,41,12/3/2024
106.18,109.74,110.13,105.82,57,12/2/2024
105.77,105.6,106.79,104.64,32,11/29/2024
105.62,105.61,107.28,105.35,97,11/27/2024
108.16,104.08,108.16,104.04,52,11/26/2024
107.97,108.56,109.65,107.08,88,11/25/2024
103.85,106.1,107.7,103.85,75,11/22/2024
99.2,101.83,102.4,97.45,49,11/21/2024
97.27,98.62,99.55,97.13,58,11/20/2024
95.285,97.89,99.47,95.285,58,11/19/2024
97.74,96.47,98.11,95.79,47,11/18/2024
100.43,97.75,100.87,97.46,59,11/15/2024
100.3,99.87,101.55,98.7,81,11/14/2024
101.3,99.01,102.35,98.58,71,11/13/2024
103,101.975,103.89,101.3,49,11/12/2024
102.47,102.78,104.28,102,72,11/11/2024
102.26,100.83,102.47,99.58,79,11/8/2024
103.2,102.14,105.08,101.49,77,11/7/2024
105.92,102.77,107.715,101.21,99,11/6/2024
106.73,105.27,107,104.7,63,11/5/2024
106.52,106.49,108.23,105.17,70,11/4/2024
109.01,106.2,109.21,105.69,83,11/1/2024
108.89,108.2,110.85,106.5,135,10/31/2024
111.95,109.25,113.2,106.8,187,10/30/2024
137.1,112.02,137.31,111.17,482,10/29/2024
135.2,139,139.9,134.84,123,10/28/2024
134.31,133.74,137,132.88,68,10/25/2024
132.5,133.3,133.36,129.68,45,10/24/2024
132.7,132.3,134.88,130.35,28,10/23/2024
137.21,132.33,137.21,132.29,45,10/22/2024
139,138.24,139.14,136.48,30,10/21/2024
138.42,139.4,139.46,137,33,10/18/2024
137.81,136.26,138.6,135.27,36,10/17/2024
140.8,137.54,141.5,135.83,60,10/16/2024
138.99,140.89,144.05,138.72,41,10/15/2024
139.89,139.42,141.27,137.05,56,10/14/2024
136.1,139.61,139.75,136.1,27,10/11/2024
135.01,136.98,136.98,134,32,10/10/2024
136.76,135.15,138.3,134.99,29,10/9/2024
136.57,136.2,137.11,134.75,29,10/8/2024
141.21,136.49,141.21,134.55,34,10/7/2024
139.04,141.93,142.78,138.54,38,10/4/2024
139.7,138,140.62,136.16,32,10/3/2024
139.74,140.16,142.34,138.09,36,10/2/2024
144.73,140.8,144.73,139.47,43,10/1/2024
144,144.83,145.13,141.93,25,9/30/2024
147.4,144.32,148.98,144,34,9/27/2024
146,147,151.01,145.46,55,9/26/2024
144.29,142.95,146.39,141.82,24,9/25/2024
144.44,144.83,147,143.94,27,9/24/2024
140.2,143.78,144.01,137.79,45,9/23/2024
137.49,139.1,140.25,137.49,28,9/20/2024
142.9,138.57,144.09,134.54,76,9/19/2024
138.39,139.76,143,138.2,44,9/18/2024
136.6,138.38,139.75,135.5,48,9/17/2024
128.8,135.03,136.72,128.8,59,9/16/2024
128.5,129,130.96,128.5,26,9/13/2024
128.85,128,129.16,126.69,40,9/12/2024
125.88,128.19,128.73,123.22,43,9/11/2024
126.65,125.76,129.125,124.85,45,9/10/2024
131.01,125.91,131.99,125.58,46,9/9/2024
135,129.03,136.24,129.03,42,9/6/2024
138.56,135.57,138.65,135.19,36,9/5/2024
138.73,138.52,140.49,138.155,33,9/4/2024
145,139.92,145.7,139.22,46,9/3/2024
146,146.32,147,143,20,8/30/2024
